name,id,created_at,line_items,line_item.admin_graphql_api_id,line_item.discount_allocations_0_amount,line_item.discount_allocations_0_amount_set_presentment_money_amount,line_item.discount_allocations_0_amount_set_presentment_money_currency_code,line_item.discount_allocations_0_amount_set_shop_money_amount,line_item.discount_allocations_0_amount_set_shop_money_currency_code,line_item.discount_allocations_0_discount_application_index,line_item.discount_allocations_1_amount,line_item.discount_allocations_1_amount_set_presentment_money_amount,line_item.discount_allocations_1_amount_set_presentment_money_currency_code,line_item.discount_allocations_1_amount_set_shop_money_amount,line_item.discount_allocations_1_amount_set_shop_money_currency_code,line_item.discount_allocations_1_discount_application_index,line_item.fulfillable_quantity,line_item.fulfillment_service,line_item.fulfillment_status,line_item.gift_card,line_item.grams,line_item.id,line_item.name,line_item.price,line_item.price_set_presentment_money_amount,line_item.price_set_presentment_money_currency_code,line_item.price_set_shop_money_amount,line_item.price_set_shop_money_currency_code,line_item.product_exists,line_item.product_id,line_item.properties_0_name,line_item.properties_0_value,line_item.quantity,line_item.requires_shipping,line_item.sku,line_item.tax_lines_0_channel_liable,line_item.tax_lines_0_price,line_item.tax_lines_0_price_set_presentment_money_amount,line_item.tax_lines_0_price_set_presentment_money_currency_code,line_item.tax_lines_0_price_set_shop_money_amount,line_item.tax_lines_0_price_set_shop_money_currency_code,line_item.tax_lines_0_rate,line_item.tax_lines_0_title,line_item.tax_lines_1_channel_liable,line_item.tax_lines_1_price,line_item.tax_lines_1_price_set_presentment_money_amount,line_item.tax_lines_1_price_set_presentment_money_currency_code,line_item.tax_lines_1_price_set_shop_money_amount,line_item.tax_lines_1_price_set_shop_money_currency_code,line_item.tax_lines_1_rate,line_item.tax_lines_1_title,line_item.taxable,line_item.title,line_item.total_discount,line_item.total_discount_set_presentment_money_amount,line_item.total_discount_set_presentment_money_currency_code,line_item.total_discount_set_shop_money_amount,line_item.total_discount_set_shop_money_currency_code,line_item.variant_id,line_item.variant_inventory_management,line_item.variant_title,line_item.vendor
#18750,5473300021503,2024-01-02T09:59:21+05:30,"{'id': 13650392383743, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650392383743', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 0, 'name': 'Yumside Delhi Style Paneer Makhani | Ready to Eat Meal | 285g - 285g', 'price': '119.00', 'price_set': {'shop_money': {'amount': '119.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '119.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 7856363405567, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '14000000005489', 'taxable': True, 'title': 'Yumside Delhi Style Paneer Makhani | Ready to Eat Meal | 285g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 43484412674303, 'variant_inventory_management': 'shopify', 'variant_title': '285g', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '18.15', 'price_set': {'shop_money': {'amount': '18.15', 'currency_code': 'INR'}, 'presentment_money': {'amount': '18.15', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': []}",gid://shopify/LineItem/13650392383743,,,,,,,,,,,,,1,manual,,False,0,13650392383743,Yumside Delhi Style Paneer Makhani | Ready to Eat Meal | 285g - 285g,119.00,119.00,INR,119.00,INR,True,7856363405567,,,1,True,14000000005489,False,18.15,18.15,INR,18.15,INR,0.18,IGST,,,,,,,,,True,Yumside Delhi Style Paneer Makhani | Ready to Eat Meal | 285g,0.00,0.00,INR,0.00,INR,43484412674303,shopify,285g,Tata Sampann
#18750,5473300021503,2024-01-02T09:59:21+05:30,"{'id': 13650392416511, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650392416511', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 0, 'name': 'Yumside Delhi Style Dal Makhani | Ready to Eat Meal | 285g - 285g', 'price': '103.00', 'price_set': {'shop_money': {'amount': '103.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '103.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 7856316088575, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '14000000005488', 'taxable': True, 'title': 'Yumside Delhi Style Dal Makhani | Ready to Eat Meal | 285g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 43484306800895, 'variant_inventory_management': 'shopify', 'variant_title': '285g', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '15.71', 'price_set': {'shop_money': {'amount': '15.71', 'currency_code': 'INR'}, 'presentment_money': {'amount': '15.71', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': []}",gid://shopify/LineItem/13650392416511,,,,,,,,,,,,,1,manual,,False,0,13650392416511,Yumside Delhi Style Dal Makhani | Ready to Eat Meal | 285g - 285g,103.00,103.00,INR,103.00,INR,True,7856316088575,,,1,True,14000000005488,False,15.71,15.71,INR,15.71,INR,0.18,IGST,,,,,,,,,True,Yumside Delhi Style Dal Makhani | Ready to Eat Meal | 285g,0.00,0.00,INR,0.00,INR,43484306800895,shopify,285g,Tata Sampann
#18750,5473300021503,2024-01-02T09:59:21+05:30,"{'id': 13650392449279, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650392449279', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 0, 'name': 'Yumside Spicy Chicken Tikka Sausage | 180g - 180g', 'price': '126.00', 'price_set': {'shop_money': {'amount': '126.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '126.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 7856242000127, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '14000000005487', 'taxable': True, 'title': 'Yumside Spicy Chicken Tikka Sausage | 180g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 43484158394623, 'variant_inventory_management': 'shopify', 'variant_title': '180g', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '19.22', 'price_set': {'shop_money': {'amount': '19.22', 'currency_code': 'INR'}, 'presentment_money': {'amount': '19.22', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': []}",gid://shopify/LineItem/13650392449279,,,,,,,,,,,,,1,manual,,False,0,13650392449279,Yumside Spicy Chicken Tikka Sausage | 180g - 180g,126.00,126.00,INR,126.00,INR,True,7856242000127,,,1,True,14000000005487,False,19.22,19.22,INR,19.22,INR,0.18,IGST,,,,,,,,,True,Yumside Spicy Chicken Tikka Sausage | 180g,0.00,0.00,INR,0.00,INR,43484158394623,shopify,180g,Tata Sampann
#18750,5473300021503,2024-01-02T09:59:21+05:30,"{'id': 13650392482047, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650392482047', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 0, 'name': 'Yumside Punjabi Style Palak Corn | Ready to Eat Meal | 285g - 285g', 'price': '111.00', 'price_set': {'shop_money': {'amount': '111.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '111.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 7856370483455, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '14000000005491', 'taxable': True, 'title': 'Yumside Punjabi Style Palak Corn | Ready to Eat Meal | 285g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 43484434661631, 'variant_inventory_management': 'shopify', 'variant_title': '285g', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '16.93', 'price_set': {'shop_money': {'amount': '16.93', 'currency_code': 'INR'}, 'presentment_money': {'amount': '16.93', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': []}",gid://shopify/LineItem/13650392482047,,,,,,,,,,,,,1,manual,,False,0,13650392482047,Yumside Punjabi Style Palak Corn | Ready to Eat Meal | 285g - 285g,111.00,111.00,INR,111.00,INR,True,7856370483455,,,1,True,14000000005491,False,16.93,16.93,INR,16.93,INR,0.18,IGST,,,,,,,,,True,Yumside Punjabi Style Palak Corn | Ready to Eat Meal | 285g,0.00,0.00,INR,0.00,INR,43484434661631,shopify,285g,Tata Sampann
#18750,5473300021503,2024-01-02T09:59:21+05:30,"{'id': 13650392514815, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650392514815', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 0, 'name': 'Yumside Hyderabadi Style Biryani Paste | Ready to Cook | 150g - 150g', 'price': '95.00', 'price_set': {'shop_money': {'amount': '95.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '95.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 7856571449599, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '14000000005495', 'taxable': True, 'title': 'Yumside Hyderabadi Style Biryani Paste | Ready to Cook | 150g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 43484884369663, 'variant_inventory_management': 'shopify', 'variant_title': '150g', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '14.49', 'price_set': {'shop_money': {'amount': '14.49', 'currency_code': 'INR'}, 'presentment_money': {'amount': '14.49', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': []}",gid://shopify/LineItem/13650392514815,,,,,,,,,,,,,1,manual,,False,0,13650392514815,Yumside Hyderabadi Style Biryani Paste | Ready to Cook | 150g - 150g,95.00,95.00,INR,95.00,INR,True,7856571449599,,,1,True,14000000005495,False,14.49,14.49,INR,14.49,INR,0.18,IGST,,,,,,,,,True,Yumside Hyderabadi Style Biryani Paste | Ready to Cook | 150g,0.00,0.00,INR,0.00,INR,43484884369663,shopify,150g,Tata Sampann
#18750,5473300021503,2024-01-02T09:59:21+05:30,"{'id': 13650392547583, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650392547583', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 35, 'name': 'Tetley | Ginger, Mint & Lemon Flavored Green Tea | 25 Tea Bags - 25 sachets', 'price': '132.00', 'price_set': {'shop_money': {'amount': '132.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '132.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 6639115698342, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '14000000003291', 'taxable': True, 'title': 'Tetley | Ginger, Mint & Lemon Flavored Green Tea | 25 Tea Bags', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 39612164505766, 'variant_inventory_management': 'shopify', 'variant_title': '25 sachets', 'vendor': 'Tetley', 'tax_lines': [{'channel_liable': False, 'price': '20.14', 'price_set': {'shop_money': {'amount': '20.14', 'currency_code': 'INR'}, 'presentment_money': {'amount': '20.14', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': []}",gid://shopify/LineItem/13650392547583,,,,,,,,,,,,,1,manual,,False,35,13650392547583,"Tetley | Ginger, Mint & Lemon Flavored Green Tea | 25 Tea Bags - 25 sachets",132.00,132.00,INR,132.00,INR,True,6639115698342,,,1,True,14000000003291,False,20.14,20.14,INR,20.14,INR,0.18,IGST,,,,,,,,,True,"Tetley | Ginger, Mint & Lemon Flavored Green Tea | 25 Tea Bags",0.00,0.00,INR,0.00,INR,39612164505766,shopify,25 sachets,Tetley
#18749,5473297432831,2024-01-02T09:54:55+05:30,"{'id': 13650387206399, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650387206399', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 500, 'name': 'Tata Sampann 100% Pure, Premium Cashews, 500 g - 500 g', 'price': '439.00', 'price_set': {'shop_money': {'amount': '439.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '439.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 7561828401407, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '15000000001587', 'taxable': True, 'title': 'Tata Sampann 100% Pure, Premium Cashews, 500 g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 42483625492735, 'variant_inventory_management': 'shopify', 'variant_title': '500 g', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '60.27', 'price_set': {'shop_money': {'amount': '60.27', 'currency_code': 'INR'}, 'presentment_money': {'amount': '60.27', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': [{'amount': '43.90', 'amount_set': {'shop_money': {'amount': '43.90', 'currency_code': 'INR'}, 'presentment_money': {'amount': '43.90', 'currency_code': 'INR'}}, 'discount_application_index': 0}]}",gid://shopify/LineItem/13650387206399,43.90,43.90,INR,43.90,INR,0.0,,,,,,,1,manual,,False,500,13650387206399,"Tata Sampann 100% Pure, Premium Cashews, 500 g - 500 g",439.00,439.00,INR,439.00,INR,True,7561828401407,,,1,True,15000000001587,False,60.27,60.27,INR,60.27,INR,0.18,IGST,,,,,,,,,True,"Tata Sampann 100% Pure, Premium Cashews, 500 g",0.00,0.00,INR,0.00,INR,42483625492735,shopify,500 g,Tata Sampann
#18749,5473297432831,2024-01-02T09:54:55+05:30,"{'id': 13650387239167, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650387239167', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 0, 'name': 'Tata Sampann 100% Pure, Premium Raisins,  500 g', 'price': '193.00', 'price_set': {'shop_money': {'amount': '193.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '193.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 8183312679167, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '15000000002715', 'taxable': True, 'title': 'Tata Sampann 100% Pure, Premium Raisins,  500 g', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 44229705302271, 'variant_inventory_management': 'shopify', 'variant_title': None, 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '26.50', 'price_set': {'shop_money': {'amount': '26.50', 'currency_code': 'INR'}, 'presentment_money': {'amount': '26.50', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': [{'amount': '19.30', 'amount_set': {'shop_money': {'amount': '19.30', 'currency_code': 'INR'}, 'presentment_money': {'amount': '19.30', 'currency_code': 'INR'}}, 'discount_application_index': 0}]}",gid://shopify/LineItem/13650387239167,19.30,19.30,INR,19.30,INR,0.0,,,,,,,1,manual,,False,0,13650387239167,"Tata Sampann 100% Pure, Premium Raisins,  500 g",193.00,193.00,INR,193.00,INR,True,8183312679167,,,1,True,15000000002715,False,26.50,26.50,INR,26.50,INR,0.18,IGST,,,,,,,,,True,"Tata Sampann 100% Pure, Premium Raisins,  500 g",0.00,0.00,INR,0.00,INR,44229705302271,shopify,,Tata Sampann
#18749,5473297432831,2024-01-02T09:54:55+05:30,"{'id': 13650387271935, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650387271935', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 1000, 'name': 'Tata Sampann 100% Chana Dal Fine Besan, 1kg - 1Kg', 'price': '100.00', 'price_set': {'shop_money': {'amount': '100.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '100.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 6639106752678, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '15000000000506', 'taxable': True, 'title': 'Tata Sampann 100% Chana Dal Fine Besan, 1kg', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 39612145795238, 'variant_inventory_management': 'shopify', 'variant_title': '1Kg', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '13.73', 'price_set': {'shop_money': {'amount': '13.73', 'currency_code': 'INR'}, 'presentment_money': {'amount': '13.73', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': [{'amount': '10.00', 'amount_set': {'shop_money': {'amount': '10.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '10.00', 'currency_code': 'INR'}}, 'discount_application_index': 0}]}",gid://shopify/LineItem/13650387271935,10.00,10.00,INR,10.00,INR,0.0,,,,,,,1,manual,,False,1000,13650387271935,"Tata Sampann 100% Chana Dal Fine Besan, 1kg - 1Kg",100.00,100.00,INR,100.00,INR,True,6639106752678,,,1,True,15000000000506,False,13.73,13.73,INR,13.73,INR,0.18,IGST,,,,,,,,,True,"Tata Sampann 100% Chana Dal Fine Besan, 1kg",0.00,0.00,INR,0.00,INR,39612145795238,shopify,1Kg,Tata Sampann
#18749,5473297432831,2024-01-02T09:54:55+05:30,"{'id': 13650387304703, 'admin_graphql_api_id': 'gid://shopify/LineItem/13650387304703', 'fulfillable_quantity': 1, 'fulfillment_service': 'manual', 'fulfillment_status': None, 'gift_card': False, 'grams': 1000, 'name': 'Tata Sampann Besan Gargara, 1 Kg - 1Kg', 'price': '100.00', 'price_set': {'shop_money': {'amount': '100.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '100.00', 'currency_code': 'INR'}}, 'product_exists': True, 'product_id': 6639118319782, 'properties': [], 'quantity': 1, 'requires_shipping': True, 'sku': '15000000000517', 'taxable': True, 'title': 'Tata Sampann Besan Gargara, 1 Kg', 'total_discount': '0.00', 'total_discount_set': {'shop_money': {'amount': '0.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'INR'}}, 'variant_id': 39612169846950, 'variant_inventory_management': 'shopify', 'variant_title': '1Kg', 'vendor': 'Tata Sampann', 'tax_lines': [{'channel_liable': False, 'price': '13.73', 'price_set': {'shop_money': {'amount': '13.73', 'currency_code': 'INR'}, 'presentment_money': {'amount': '13.73', 'currency_code': 'INR'}}, 'rate': 0.18, 'title': 'IGST'}], 'duties': [], 'discount_allocations': [{'amount': '10.00', 'amount_set': {'shop_money': {'amount': '10.00', 'currency_code': 'INR'}, 'presentment_money': {'amount': '10.00', 'currency_code': 'INR'}}, 'discount_application_index': 0}]}",gid://shopify/LineItem/13650387304703,10.00,10.00,INR,10.00,INR,0.0,,,,,,,1,manual,,False,1000,13650387304703,"Tata Sampann Besan Gargara, 1 Kg - 1Kg",100.00,100.00,INR,100.00,INR,True,6639118319782,,,1,True,15000000000517,False,13.73,13.73,INR,13.73,INR,0.18,IGST,,,,,,,,,True,"Tata Sampann Besan Gargara, 1 Kg",0.00,0.00,INR,0.00,INR,39612169846950,shopify,1Kg,Tata Sampann
